"#","Reference","Qty","Short Description","Manufacturer","Manufacturer Part #","Supplier","Supplier Part #","Supplier Price ($)","Type","Package","Category","Subcategory"
"1","C1,C3,C15,C16","4","CAP CER 4.7UF 25V X7R 1206","Murata","GCM31CR71E475KA55K","DigiKey","490-11168-1-ND","0.33","SMD","1206 (3216 Metric)","Capacitor","Surface Mount MLCC"
"2","C2","1","CAP CER 10UF 25V X7R 1210","Murata","GCM32ER71E106KA57L","DigiKey","490-4798-1-ND","0.67","SMD","1210 (3225 Metric)","Capacitor","Surface Mount MLCC"
"3","C4,C11,C21,C26","4","CAP CER 1UF 25V X7R 0603","Murata","GCM188R71E105KA64D","DigiKey","490-10673-1-ND","0.19","SMD","0603 (1608 Metric)","Capacitor","Surface Mount MLCC"
"4","C7,C12,C17,C20,C25","5","CAP CER 0.1UF 25V X7R 0402","Murata","GCM155R71E104KE02D","DigiKey","490-16431-1-ND","0.11","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"5","C8,C13,C19","3","CAP CER 10000PF 25V X7R 0402","Murata","GCM155R71E103KA37J","DigiKey","490-GCM155R71E103KA37JCT-ND","0.11","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"6","C9,C10,C14","3","CAP CER 2.2UF 25V X7R 0805","Murata","GCM21BR71E225KA73L","DigiKey","490-4787-1-ND","0.43","SMD","0805 (2012 Metric)","Capacitor","Surface Mount MLCC"
"7","C18","1","CAP CER 6.8PF 25V C0G/NP0 0201","Murata","GCM0335C1E6R8CA16D","DigiKey","490-GCM0335C1E6R8CA16DCT-ND","0.1","SMD","0201 (0603 Metric)","Capacitor","Surface Mount MLCC"
"8","C22","1","CAP CER 4700PF 25V X7R 0402","Murata","GCM155R71E472KA37D","DigiKey","490-GCM155R71E472KA37DCT-ND","0.1","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"9","C23","1","CAP CER 0.22UF 25V X7R 0603","Murata","GCM188R71E224KA55D","DigiKey","490-4935-1-ND","0.1","SMD","0603 (1608 Metric)","Capacitor","Surface Mount MLCC"
"10","C24","1","CAP CER 7.5PF 50V C0G/NP0 0402","Murata","GCM1555C1H7R5BA16D","DigiKey","490-GCM1555C1H7R5BA16DCT-ND","0.1","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"11","D1","1","LED GREEN CLEAR 0603 SMD","Würth Elektronik","150060GS75000","DigiKey","732-4971-1-ND","0.15","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"12","D2","1","LED BLUE CLEAR 0603 SMD","Würth Elektronik","150060BS75000","DigiKey","732-4981-1-ND","0.16","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"13","D3","1","LED YELLOW CLEAR 0603 SMD","Würth Elektronik","150060YS75000","DigiKey","732-4981-1-ND","0.15","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"14","D4","1","LED RED CLEAR 0603 SMD","Würth Elektronik","150060RS75000","DigiKey","732-4978-1-ND","0.15","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"15","D5,D6","2","DIODE SCHOTTKY 30V 1A USC","Toshiba Semiconductor and Storage","CUS10S30,H3F","DigiKey","CUS10S30H3FCT-ND","0.36","SMD","SOD-323","Diode","Schottky Diode"
"16","J1,J3","2","CONN HEADER VERT 24POS 2.54MM","Würth Elektronik","61302411121","DigiKey","732-5331-ND","1.25","Through Hole","Nonstandard 24-pin","Connector Assembly","24-Pin Male Header"
"17","J2,J4","2","CONN HDR 24POS 0.1 TIN PCB","Sullins Connector Solutions","PPTC241LFBN-RC","DigiKey","S7022-ND","1.34","Through Hole","Nonstandard 24-pin","Connector Assembly","24-Pin Female Header"
"18","J5","1","BATTERY HOLDER 18350 SMD","Keystone","1096","DigiKey","36-1096-ND","5.02","Hybrid","Nonstandard 2-pin","Connector Assembly","Battery Header (18350)"
"19","J6","1","CONN HEADER SMD 3POS 2.54MM","Samtec Inc.","TSM-103-01-S-SV","DigiKey","SAM10787-ND","0.76","SMD","Nonstandard 3-pin","Connector Assembly","3-Pin Male Header"
"20","J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19","12","CONN RCPT 2POS 0.2 TIN PCB","Samtec Inc.","PSS-02-01-T-S","DigiKey","SAM12742-ND","1.89","SMD","Nonstandard 2-pin","Connector Assembly","2-Pin Female Header"
"21","J20,J22","2","WR-PHD 2.54 MM SOCKET HEADER 20","Würth Elektronik","61302011821","DigiKey","732-61302011821-ND","0.88","Through Hole","Nonstandard 20-pin","Connector Assembly","20-Pin Female Header"
"22","J21,J23","2","CONN HEADER VERT 20POS 2.54MM","Würth Elektronik","61302011121","DigiKey","732-5329-ND","1.16","Through Hole","Nonstandard 20-pin","Connector Assembly","20-Pin Male Header"
"23","L1,L2","2","FIXED IND 4.7UH 4.9A 15 MOHM SMD","EPCOS - TDK Electronics","B82464P4472M000","DigiKey","495-77086-1-ND","1.76","SMD","Nonstadard 2-pin","Inductor","Drum Core Inductor"
"24","OPA1","1","IC ZERO CROSS 2 CIRCUIT 8-VSSOP","Texas Instruments","OPA2323IDGKR","DigiKey","296-OPA2323IDGKRCT-ND","1.72","SMD","8-VSSOP","Op-Amp","Dual General Purpose Op-Amp"
