pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
80.434657,-91.575,0.0,top,C1,,1206 (3216 Metric),1206 (3216 Metric),4.7µF(±10%),smt
147.0,-115.35,90.0,top,C10,,0805 (2012 Metric),0805 (2012 Metric),2.2µF(±10%),smt
150.5,-118.25,180.0,top,C11,,0603 (1608 Metric),0603 (1608 Metric),1µF(±10%),smt
169.550835,-116.1,0.0,top,C12,,0402 (1005 Metric),0402 (1005 Metric),0.1µF(±10%),smt
169.05,-122.332,-90.0,top,C13,,0402 (1005 Metric),0402 (1005 Metric),0.01µF(±10%),smt
171.85,-122.3,0.0,top,C14,,0805 (2012 Metric),0805 (2012 Metric),2.2µF(±10%),smt
122.5,-65.75,90.0,top,C15,,1206 (3216 Metric),1206 (3216 Metric),4.7µF(±10%),smt
156.0,-81.2,180.0,top,C16,,1206 (3216 Metric),1206 (3216 Metric),4.7µF(±10%),smt
149.0,-81.0,0.0,top,C17,,0402 (1005 Metric),0402 (1005 Metric),0.1µF(±10%),smt
140.674981,-75.238598,90.0,top,C18,,0201 (0603 Metric),0201 (0603 Metric),6.8pF(±0.25pF),smt
146.0,-75.95,0.0,top,C19,,0402 (1005 Metric),0402 (1005 Metric),0.01µF(±10%),smt
74.934657,-94.3,180.0,top,C2,,1210 (3225 Metric),1210 (3225 Metric),10µF(±10%),smt
130.0,-100.0,180.0,top,C20,,0402 (1005 Metric),0402 (1005 Metric),0.1µF(±10%),smt
129.1,-70.5,180.0,top,C21,,0603 (1608 Metric),0603 (1608 Metric),1µF(±10%),smt
146.0,-74.5,0.0,top,C22,,0402 (1005 Metric),0402 (1005 Metric),4.7nF(±10%),smt
146.0,-72.0,90.0,top,C23,,0603 (1608 Metric),0603 (1608 Metric),220nF(±10%),smt
153.995693,-71.45,90.0,top,C24,,0402 (1005 Metric),0402 (1005 Metric),7.5pF(±0.1pF),smt
170.0,-100.0,180.0,top,C25,,0402 (1005 Metric),0402 (1005 Metric),0.1µF(±10%),smt
169.578,-79.2,0.0,top,C26,,0603 (1608 Metric),0603 (1608 Metric),1µF(±10%),smt
69.85,-92.1,0.0,top,C3,,1206 (3216 Metric),1206 (3216 Metric),4.7µF(±10%),smt
108.0,-87.2,0.0,top,C4,,0603 (1608 Metric),0603 (1608 Metric),1µF(±10%),smt
130.475,-116.3,0.0,top,C7,,0402 (1005 Metric),0402 (1005 Metric),0.1µF(±10%),smt
129.05,-122.218,-90.0,top,C8,,0402 (1005 Metric),0402 (1005 Metric),0.01µF(±10%),smt
131.85,-122.25,0.0,top,C9,,0805 (2012 Metric),0805 (2012 Metric),2.2µF(±10%),smt
56.03,-78.295,0.0,top,D1,,0603 (1608 Metric),0603 (1608 Metric),150060GS75000,smt
