"#","Reference","Qty","Short Description","Manufacturer","Manufacturer Part #","Supplier","Supplier Part #","Supplier Price ($)","Type","Package","Category","Subcategory"
"1","C1,C3,C5,C6,C15,C16","6","CAP CER 4.7UF 25V X7R 1206","Murata","GCM31CR71E475KA55L","DigiKey","490-4794-1-ND","0.31","SMD","1206 (3216 Metric)","Capacitor","Surface Mount MLCC"
"2","C2","1","CAP CER 10UF 25V X7R 1210","Murata","GCM32ER71E106KA57L","DigiKey","490-4798-1-ND","0.64","SMD","1210 (3225 Metric)","Capacitor","Surface Mount Think Film Capacitor"
"3","C4,C7,C12,C17,C20,C25","6","CAP CER 0.1UF 25V X7R 0402","Murata","GCM155R71E104KE02D","DigiKey","490-16431-1-ND","0.10","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"4","C8,C13,C19","3","CAP CER 10000PF 25V X7R 0402","Murata","GCM155R71E103KA37D","DigiKey","490-6043-1-ND","0.10","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"5","C9,C10,C14","3","CAP CER 2.2UF 25V X7R 0805","Murata","GCM21BR71E225KA73L","DigiKey","490-4787-1-ND","0.4","SMD","0805 (2012 Metric)","Capacitor","Surface Mount MLCC"
"6","C11,C21,C26","3","CAP CER 1UF 25V X7R 0603","Murata","GCM188R71E105KA64D","DigiKey","490-10673-1-ND","0.20","SMD","0603 (1608 Metric)","Capacitor","Surface Mount MLCC"
"7","C18","1","CAP CER 6.8PF 25V C0G/NP0 0201","Murata","GCM0335C1E6R8CA16D","DigiKey","490-GCM0335C1E6R8CA16DCT-ND","0.1","SMD","0201 (0603 Metric)","Capacitor","Surface Mount MLCC"
"8","C22","1","CAP CER 4700PF 25V X7R 0402","Murata","GCM155R71E472KA37D","DigiKey","490-GCM155R71E472KA37DCT-ND","0.1","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"9","C23","1","CAP CER 0.22UF 25V X7R 0603","Murata","GCM188R71E224KA55D","DigiKey","490-4935-1-ND","0.1","SMD","0603 (1608 Metric)","Capacitor","Surface Mount MLCC"
"10","C24","1","CAP CER 7.5PF 50V C0G/NP0 0402","Murata","GCM1555C1H7R5BA16D","DigiKey","490-GCM1555C1H7R5BA16DCT-ND","0.1","SMD","0402 (1005 Metric)","Capacitor","Surface Mount MLCC"
"11","D1","1","LED GREEN CLEAR 0603 SMD","Würth Elektronik","150060GS75000","DigiKey","732-4971-1-ND","0.15","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"12","D2","1","LED BLUE CLEAR 0603 SMD","Würth Elektronik","150060BS75000","DigiKey","732-4981-1-ND","0.17","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"13","D3","1","LED YELLOW CLEAR 0603 SMD","Würth Elektronik","150060YS75000","DigiKey","732-4981-1-ND","0.15","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"14","D4","1","LED RED CLEAR 0603 SMD","Würth Elektronik","150060RS75000","DigiKey","732-4978-1-ND","0.15","SMD","0603 (1608 Metric)","Diode","Light Emitting Diode (LED)"
"15","D5,D6","2","DIODE SCHOTTKY 30V 1A SOD323","Diodes Incorporated","BAT760-7","DigiKey","BAT760DICT-ND","0.47","SMD","SOD-323","Diode","Schottky Diode"
"16","J1,J3","2","CONN HEADER VERT 18POS 2.54MM","Würth Elektronik","61301811121","DigiKey","732-5328-ND","1.00","Through Hole","Nonstandard 18-pin","Connector Assembly","18-Pin Male Header"
"17","J2,J4","2","WR-PHD 2.54 MM SOCKET HEADER; 18","Würth Elektronik","61301811821","DigiKey","732-61301811821-ND","0.93","Through Hole","Nonstandard 18-pin","Connector Assembly","18-Pin Female Header"
