"#","Reference","Short Description","Qty","Manufacturer","Manufacturer Part #","Supplier","Supplier Part #","Supplier Price ($)","Type","Package","Subcategory","Category"
"1","C1,C2,C3,C4,C5,C18,C19,C20,C21,C22,C23,C24,C25,C26","CAP CER 1UF 25V X7R 0603","14","Murata","GCM188R71E105KA64D","DigiKey","490-10673-1-ND","0.20","SMD","0603 (1608 Metric)","Surface Mount MLCC","Capacitor"
"2","C6,C7,C8,C9,C10,C11","CAP CER 0.1PF 50V C0G/NP0 0402","6","Murata","GJM1555C1HR10WB01D","DigiKey","490-11246-1-ND","0.14","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"3","C12","CAP CER 0.2PF 50V C0G/NP0 0402","1","Murata","GJM1555C1HR20WB01D","DigiKey","490-11247-1-ND","0.14","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"4","C13","CAP CER 1PF 50V C0G/NP0 0402","1","Murata","GJM1555C1H1R0WB01D","DigiKey","490-11193-1-ND","0.14","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"5","C14","CAP CER 2PF 50V C0G/NP0 0402","1","Murata","GJM1555C1H2R0WB01D","DigiKey","490-11205-1-ND","0.14","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"6","C15","CAP CER 6PF 25V C0G/NP0 0201","1","Murata","GJM0335C1E6R0WB01D","DigiKey","490-GJM0335C1E6R0WB01DCT-ND","0.14","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"7","C16","CAP CER 16PF 50V C0G/NP0 0402","1","Murata","GCM1555C1H160FA16D","DigiKey","490-GCM1555C1H160FA16DCT-ND","0.10","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"8","C17","CAP CER 47PF 50V C0G/NP0 0402","1","Murata","GJM1555C1H470FB01D","DigiKey","490-16376-1-ND","0.13","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"9","C27","CAP CER 0.1UF 25V X7R 0402","1","Murata","GCM155R71E104KE02D","DigiKey","490-16431-1-ND","0.10","SMD","0402 (1005 Metric)","Surface Mount MLCC","Capacitor"
"10","DAIC1","IC ADC 16BIT 10-VSSOP","1","Texas Instruments","ADS1115IDGSR","DigiKey","MC79M12CDTRKGOSCT-ND","5.28","PMIC","10-VSSOP","16-Bit ADC","Data Acquisition IC"
